"URL","RootDomain","HasForm","FormID","Status"
"https://www.nursecadillac.com/service/contact-service/","www.nursecadillac.com","True","36","Success"
"https://www.nursecadillac.com/parts/contact-parts/","www.nursecadillac.com","True","39","Success"
"https://www.nursecadillac.com/contact-us/","www.nursecadillac.com","True","41","Success"
"https://www.nursecadillac.com/contact-us/","www.nursecadillac.com","True","43","Success"
"https://www.nursecadillac.com/contact-us/","www.nursecadillac.com","True","50","Success"
"https://www.nursecadillac.com/book-a-test-drive/","www.nursecadillac.com","True","42","Success"
"https://www.nursecadillac.com/request-a-video/","www.nursecadillac.com","True","54","Success"
"https://www.nursecadillac.com/no-contact-approach-form/","www.nursecadillac.com","True","56","Success"
"https://www.nursecadillac.com/book-collision-centre-appointment/","www.nursecadillac.com","True","55","Success"
"https://www.nursecadillac.com/parts/order-parts/","www.nursecadillac.com","True","38","Success"
"https://www.nursecadillac.com/value-your-trade/","www.nursecadillac.com","True","10","Success"
"https://www.nursecadillac.com/request-a-vehicle/","www.nursecadillac.com","True","57","Success"
"https://www.nursecadillac.com/model-research/","www.nursecadillac.com","True","3","Success"
"https://www.nursecadillac.com/showroom/2026-cadillac-lyriq-v_48370/","www.nursecadillac.com","True","11","Success"
